Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2002-03-08,ICICI,EQ,64.15,65.25,66.5,64.05,64.05,64.25,65.07,485714,3160652525000.0,0.0,185955.0,0.38280000000000003
2002-03-11,ICICI,EQ,64.25,64.5,64.7,62.2,62.9,62.55,62.71,478483,3000418350000.0,0.0,0.0,0.0
2002-03-12,ICICI,EQ,62.55,63.0,63.0,61.25,61.6,61.65,62.26,290481,1808541555000.0,0.0,441090.0,0.5736
2002-03-13,ICICI,EQ,61.65,59.55,63.0,59.55,61.75,61.75,62.0,241691,1498519155000.0,0.0,87242.0,0.36100000000000004
2002-03-14,ICICI,EQ,61.75,62.0,63.0,61.0,62.5,62.1,61.88,222111,1374397095000.0,0.0,102575.0,0.4618
2002-03-15,ICICI,EQ,62.1,63.1,65.8,62.25,64.9,64.65,63.77,693842,4424596060000.0,0.0,311063.0,0.4483
2002-03-18,ICICI,EQ,64.65,66.0,67.0,63.5,63.6,63.75,65.17,796185,5188649000000.0,0.0,344567.0,0.4328
2002-03-19,ICICI,EQ,63.75,64.1,65.0,62.7,63.0,63.0,63.74,352850,2248992145000.0,0.0,149814.0,0.42460000000000003
2002-03-20,ICICI,EQ,63.0,63.75,64.1,61.55,62.35,62.5,62.79,353459,2219227705000.0,0.0,160338.0,0.4536
2002-03-21,ICICI,EQ,62.5,62.7,62.75,60.2,60.2,60.75,61.58,312393,1923854095000.0,0.0,176898.0,0.5663
2002-03-22,ICICI,EQ,60.75,63.0,65.0,60.3,60.9,60.95,60.92,280322,1707831664999.9998,0.0,152853.0,0.5453
2002-03-26,ICICI,EQ,60.95,61.0,62.0,59.2,60.6,60.4,60.22,278033,1674287735000.0,0.0,165972.0,0.5970000000000001
2002-03-27,ICICI,EQ,60.4,62.1,63.5,60.0,60.3,60.25,61.38,420573,2581553520000.0,0.0,167987.0,0.3994
2002-03-28,ICICI,EQ,60.25,61.0,63.0,60.5,61.3,60.8,61.62,1103159,6797756765000.001,0.0,449781.0,0.40770000000000006
2002-04-01,ICICI,EQ,60.8,61.5,63.85,61.5,63.0,63.35,62.69,464879,2914295820000.0,0.0,166600.0,0.35840000000000005
2002-04-02,ICICI,EQ,63.35,63.1,64.6,62.9,63.9,63.5,63.7,425867,2712649815000.0,0.0,161476.0,0.37920000000000004
2002-04-03,ICICI,EQ,63.5,63.15,65.1,62.7,63.2,63.45,64.01,404498,2589021780000.0,0.0,111279.0,0.2751
2002-04-04,ICICI,EQ,63.45,63.05,64.2,62.5,63.25,63.3,63.53,224371,1425361945000.0,0.0,112989.0,0.5036
2002-04-05,ICICI,EQ,63.3,63.0,63.0,61.9,62.5,62.35,62.27,220696,1374380815000.0,0.0,126986.0,0.5754
2002-04-08,ICICI,EQ,62.35,63.0,63.5,61.55,61.8,61.75,62.1,369995,2297562335000.0,0.0,234583.0,0.634
2002-04-09,ICICI,EQ,61.75,62.1,62.25,61.05,61.6,61.5,61.59,126859,781329195000.0,0.0,81082.0,0.6392
2002-04-10,ICICI,EQ,61.5,62.25,62.45,61.4,61.8,61.8,61.99,165030,1022983825000.0,0.0,81478.0,0.49369999999999997
2002-04-11,ICICI,EQ,61.8,62.0,65.0,61.1,61.35,61.4,62.09,571833,3550284595000.0005,0.0,265932.0,0.4651
2002-04-12,ICICI,EQ,61.4,62.0,62.0,61.0,61.15,61.2,61.47,245320,1507872670000.0,0.0,143402.0,0.5846
2002-04-15,ICICI,EQ,61.2,63.0,63.0,60.5,60.65,60.65,61.32,177777,1090173405000.0001,0.0,94489.0,0.5315
2002-04-16,ICICI,EQ,60.65,60.95,60.95,59.7,60.15,60.15,60.24,162666,979972680000.0001,0.0,0.0,0.0
2002-04-17,ICICI,EQ,60.15,60.9,61.0,59.5,59.75,59.75,60.17,133155,801197875000.0,0.0,99043.0,0.7438
2002-04-18,ICICI,EQ,59.75,59.5,59.8,57.75,58.4,58.25,58.23,165317,962613535000.0,0.0,88875.0,0.5376
2002-04-19,ICICI,EQ,58.25,58.4,58.4,57.05,57.25,57.25,57.53,156149,898389255000.0001,0.0,103506.0,0.6629
2002-04-22,ICICI,EQ,57.25,58.0,58.0,55.1,56.5,56.5,56.35,150124,845924444999.9999,0.0,80116.0,0.5337
2002-04-23,ICICI,EQ,56.5,57.0,57.5,56.2,56.35,56.65,56.81,110953,630287960000.0,0.0,75125.0,0.6770999999999999
2002-04-24,ICICI,EQ,56.65,57.0,57.5,56.35,56.55,56.7,56.95,517915,2949451895000.0,0.0,0.0,0.0
2002-04-25,ICICI,EQ,56.7,56.7,57.0,54.1,54.6,54.95,55.99,551287,3086811940000.0,0.0,653431.0,0.6111
2002-04-26,ICICI,EQ,54.95,55.35,56.95,54.8,56.7,56.1,55.68,324149,1804838055000.0,0.0,142978.0,0.4411
2002-04-29,ICICI,EQ,56.1,56.65,56.65,55.2,55.3,55.35,55.78,119678,667568665000.0,0.0,66273.0,0.5538000000000001
2002-04-30,ICICI,EQ,55.35,55.5,56.5,55.0,55.4,55.2,55.35,169403,937565425000.0,0.0,0.0,0.0
2002-05-02,ICICI,EQ,55.2,55.2,56.0,54.15,55.05,55.2,55.2,147341,813395150000.0,0.0,111581.0,0.7573000000000001
2002-05-03,ICICI,EQ,55.2,55.7,57.65,55.3,56.7,57.0,56.36,276087,1556142105000.0,0.0,135916.0,0.49229999999999996
2002-05-06,ICICI,EQ,57.0,57.95,58.25,57.0,57.5,57.5,57.57,272204,1567039605000.0,0.0,163719.0,0.6015
2002-05-07,ICICI,EQ,57.5,57.75,60.25,57.5,59.85,59.7,59.11,617591,3650532729999.9995,0.0,356166.0,0.5767
2002-05-08,ICICI,EQ,59.7,60.25,62.6,60.05,61.95,61.95,61.91,1117552,6918230400000.0,0.0,729456.0,0.6527
2002-05-09,ICICI,EQ,61.95,62.95,63.8,62.5,63.7,63.5,63.15,1027918,6491756645000.0,0.0,668908.0,0.6507
